単語,観点,関連語
気候変動,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気温,  温室効果ガス,  化石燃料,  森林伐採,  海面上昇,  気候変動,  大気汚染,  破壊的開発,  過剰消費,  土地利用変化"
気候変動,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気温上昇,  化石燃料,  海面上昇,  温室効果ガス,  森林伐採,  水資源,  異常気象,  再生可能エネルギー,  持続可能な開発,  経済影響"
気候変動,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  影響,  事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候"
気候変動,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  温室効果ガス,  再生可能エネルギー,  持続可能性,  バイオ燃料,  森林保護,  カーボンオフセット,  持続可能な開発,  気候変動適応策,  温暖化"
地球温暖化,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"地球温暖化, 排出, 二酸化炭素, 森林伐採, 化石燃料, 大気汚染, 過剰消費, 海面上昇, 極端気候, 再生可能energies."
地球温暖化,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  温室効果ガス,  森林伐採,  氷河,  海面上昇,  水資源,  持続可能性,  環境保護,  再生可能エネルギー,  持続可能な開発"
地球温暖化,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"地球温暖化,  気候変動,  湿度,  森林伐採,  海面上昇,  異常気象,  二酸化炭素排出,  氷河の融解,  生態系の変化,  熱波"
地球温暖化,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"地球温暖化,  CO2排出,  森林保護,  再生可能エネルギー,  持続可能性,  パリ協定,  グリーンテクノロジー,  環境保護,  カーボンオフセット,  プラスチック削減"
異常気象,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"異常気象, 気候変動, 温室効果ガス, 森林破壊, 海洋汚染, 都市化, 工業活動, 排気ガス, 二酸化炭素, 極端気象"
異常気象,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  暴風雨,  干ばつ,  洪水,  熱波,  降雪,  台風,  地球温暖化,  雹,  雷雨"
異常気象,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"異常気象の影響, 事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候, 洪水,  干ばつ,  雹,  嵐,  温暖化,  降雪,  土砂崩れ,  雷,  高温,  強風"
異常気象,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  温暖化,  気象災害,  持続可能性,  再生可能エネルギー,  防災対策,  リサイクル,  カーボンオフセット,  海面上昇,  森林保護"
温室効果ガス,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"温室効果ガス, 気候変動, 化石燃料, 森林伐採, 排出量, 地球温暖化, 再生可能エネルギー, 二酸化炭素, メタン, 排気ガス"
温室効果ガス,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"温室効果ガス,  地球温暖化,  化石燃料,  森林伐採,  再生可能エネルギー,  カーボンニュートラル,  持続可能性,  パリ協定,  気候変動,  環境保護"
温室効果ガス,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"温室効果ガス, 気候変動, 二酸化炭素, メタン, ナイトロゲン酸化物, 森林破壊, 海面上昇, 極端な天候, 持続可能性, 再生可能エネルギー"
温室効果ガス,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"温室効果ガス,  地球温暖化,  再生可能エネルギー,  カーボンオフセット,  持続可能性,  森林保護,  グリーンテクノロジー,  エコロジカルフットプリント,  パリ協定,  環境保護"
二酸化炭素,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  化石燃料,  森林伐採,  工業活動,  自動車排ガス,  地球温暖化,  エネルギー消費,  海洋酸性化,  温室効果ガス,  大気汚染"
二酸化炭素,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"環境,  温室効果ガス,  地球温暖化,  大気,  森林,  廃棄物,  エネルギー,  自然災害,  持続可能性,  気候変動"
二酸化炭素,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"影響,  温室効果,  気候変動,  大気汚染,  化石燃料,  水質,  森林減少,  海洋酸性化,  農業生産,  災害リスク"
二酸化炭素,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"地球温暖化,  気候変動,  温室効果ガス,  再生可能エネルギー,  持続可能性,  カーボンニュートラル,  環境保護,  グリーンテクノロジー,  エコロジカルフットプリント,  クリーンエネルギー"
CO2,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"自然,  大気,  循環,  森林,  温室効果,  化石燃料,  地球温暖化,  放出源,  吸収,  気候変動"
CO2,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"化石燃料,  気候変動,  森林破壊,  グリーンハウスガス,  持続可能性,  カーボンオフセット,  環境保護,  再生可能エネルギー,  地球温暖化,  脱炭素化"
CO2,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  温室効果ガス,  気温上昇,  海水準上昇,  森林破壊,  水資源,  食糧生産,  自然災害,  持続可能性,  グリーンエネルギー"
CO2,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"温室効果ガス,  再生可能エネルギー,  持続可能性,  森林保護,  カーボンニュートラル,  グリーンテクノロジー,  エコフレンドリー,  ローカルフード,  ライフサイクル評価,  炭素税"
炭素排出,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候  "
炭素排出,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"二酸化炭素,  温室効果ガス,  気候変動,  持続可能性,  再生可能エネルギー,  カーボンニュートラル,  バイオマス,  エコロジカルフットプリント,  グリーンテクノロジー,  サステナビリティ"
炭素排出,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"炭素,  排出,  影響,  環境,  気候変動,  持続可能,  温室効果ガス,  地球温暖化,  再生可能エネルギー,  持続可能な開発"
炭素排出,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"温室効果ガス,  再生可能エネルギー,  グリーンテクノロジー,  カーボンオフセット,  ゼロエミッション,  バイオマスエネルギー,  エネルギー効率,  カーボンニュートラル,  持続可能性,  ローカルフード"
カーボンニュートラル,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),炭素排出、再生可能エネルギー、持続可能性、森林保護、二酸化炭素吸収、廃棄物削減、エコロジカルフットプリント、循環型経済、気候変動適応、再生可能資源
カーボンニュートラル,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  温室効果ガス,  再生可能エネルギー,  持続可能性,  エコロジー,  バイオマス,  持続可能な開発,  循環経済,  グリーンテクノロジー,  環境負荷"
カーボンニュートラル,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"カーボン,  ニュートラル,  影響,  環境,  グリーン,  エネルギー,  持続可能,  温室効果ガス,  再生可能,  排出量"
カーボンニュートラル,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"温室効果ガス,  再生可能エネルギー,  持続可能性,  循環経済,  森林保護,  グリーンテクノロジー,  炭素オフセット,  グリーンビルディング,  ローカルフード,  プラントベース"
脱炭素,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  温室効果ガス,  再生可能エネルギー,  持続可能性,  パリ協定,  持続可能な開発目標,  カーボンニュートラル,  持続可能な消費,  再生可能資源,  削減目標"
脱炭素,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"再生可能エネルギー,  温室効果ガス,  カーボンニュートラル,  持続可能性,  レジリエンス,  カーボンオフセット,  サーキュラーエコノミー,  ゼロエミッション,  グリーンテクノロジー,  持続可能な開発"
脱炭素,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"事柄, 事象, 現象, 自然, 生物, 社会活動, 産業, 物質, 天候, 再生可能エネルギー, CO2排出削減, 気候変動, 植物, 森林保護, 持続可能な開発, 再利用, バイオディーゼル, 環境汚染, 温室効果ガス"
脱炭素,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"温室効果ガス,  再生可能エネルギー,  グリーンテクノロジー,  持続可能性,  カーボンニュートラル,  レジリエンス,  バイオマス,  カーボンオフセット,  ゼロエミッション,  エコロジカルデザイン"
カーボンオフセット,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"CO2,  森林,  温室効果ガス,  地球温暖化,  持続可能性,  再生可能エネルギー,  炭素排出,  グリーンハウス効果,  バイオマス,  持続可能な開発"
カーボンオフセット,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),排出量、再生可能エネルギー、森林保護、エコロジカルフットプリント、循環経済、持続可能性、二酸化炭素吸収、温室効果ガス、気候変動、環境保護
カーボンオフセット,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"カーボン,  オフセット,  環境,  温室効果ガス,  持続可能性,  森林,  脱炭素,  再生可能エネルギー,  責任,  パリ協定"
カーボンオフセット,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"排出量削減,  持続可能性,  気候変動,  再生可能エネルギー,  森林保護,  循環経済,  グリーンテクノロジー,  グリーンビルディング,  二酸化炭素吸収,  持続可能な消費"
炭素税,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"炭素,  環境,  温室効果ガス,  気候変動,  エネルギー,  二酸化炭素,  持続可能性,  Fossil Fuel,  森林伐採,  温暖化"
炭素税,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),排出、温室効果ガス、気候変動、持続可能性、二酸化炭素、再生可能エネルギー、環境保護、持続可能な開発、国際協力、地球温暖化
炭素税,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"炭素排出,  温室効果ガス,  気候変動,  再生可能エネルギー,  持続可能性,  森林伐採,  環境保護,  カーボンニュートラル,  グリーンテクノロジー,  クリーンエネルギー"
炭素税,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"炭素排出,  再生可能エネルギー,  持続可能性,  グリーンテクノロジー,  脱炭素化,  カーボンフットプリント,  クリーンエネルギー,  グリーンハウス効果,  持続可能な開発,  再生可能エネルギー源"
パリ協定,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候"
パリ協定,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  温室効果ガス,  持続可能性,  温暖化,  環境保護,  二酸化炭素排出,  再生可能エネルギー,  持続可能な開発,  森林伐採,  気候変動適応"
パリ協定,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候"
パリ協定,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"排出削減,  持続可能,  再生可能エネルギー,  森林保護,  気候変動,  環境保護,  持続可能な開発,  削減目標,  カーボンニュートラル,  気候変動適応"
IPCC,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  温室効果ガス,  気温上昇,  氷河の溶解,  水位上昇,  極端な気象,  洪水,  干ばつ,  森林伐採,  適応策"
IPCC,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  温室効果ガス,  持続可能性,  海面上昇,  環境保護,  森林伐採,  地球温暖化,  災害リスク,  持続可能な開発,  再生可能エネルギー"
IPCC,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  二酸化炭素,  海面上昇,  氷河,  乾季,  洪水,  森林伐採,  水資源,  農業,  持続可能"
IPCC,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  温室効果ガス,  持続可能性,  再生可能エネルギー,  森林保護,  削減目標,  緩和策,  適応策,  カーボンオフセット,  エコロジカルフットプリント"
気候危機,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  温室効果ガス,  化石燃料,  森林破壊,  海洋酸性化,  過剰消費,  大気汚染,  過剰開発,  経済成長,  持続可能"
気候危機,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  温室効果ガス,  持続可能性,  海面上昇,  森林破壊,  絶滅危惧種,  再生可能エネルギー,  持続可能な開発,  環境保護,  持続可能な農業"
気候危機,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気温,  気候変動,  二酸化炭素,  森林破壊,  海面上昇,  異常気象,  干ばつ,  洪水,  森林火災,  水資源"
気候危機,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  温室効果ガス,  再生可能エネルギー,  持続可能性,  生態系,  森林保護,  経済的援助,  環境規制,  グリーンテクノロジー,  カーボンオフセット"
気温上昇,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  温室効果ガス,  化石燃料,  森林伐採,  工業化,  雨量変化,  都市化,  自動車排ガス,  海洋温暖化,  地球温暖化"
気温上昇,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  熱中症,  温室効果ガス,  災害,  森林破壊,  ヒートアイランド現象,  農作物,  水不足,  エネルギー消費,  地球温暖化"
気温上昇,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  農作物,  海面上昇,  森林火災,  経済影響,  熱中症,  水不足,  エネルギー消費,  化石燃料,  自然災害"
気温上昇,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  温室効果ガス,  再生可能エネルギー,  持続可能性,  リサイクル,  エネルギー効率,  森林保護,  環境保護,  CO2削減,  グリーンテクノロジー"
海面上昇,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  溶存酸素,  海洋酸性化,  氷床融解,  水温上昇,  森林伐採,  都市開発,  二酸化炭素排出,  海洋汚染,  過剰漁獲"
海面上昇,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"海面上昇,  気候変動,  沿岸浸食,  海岸保全,  津波,  地球温暖化,  建築基準,  都市浸水,  環境移住,  海洋汚染"
海面上昇,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"影響,  海面上昇,  洪水,  浸水,  食糧安全保障,  防潮堤,  海岸侵食,  住宅建設,  避難計画,  災害リスク管理"
海面上昇,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"海岸,  防波堤,  インフラ整備,  災害予防,  環境保護,  防災対策,  海抜,  避難計画,  堤防,  危険区域"
氷河融解,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  温室効果ガス,  海面上昇,  気温上昇,  氷床,  地球温暖化,  火山活動,  水温上昇,  降雪量減少,  地殻変動"
氷河融解,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"氷河,  融解,  地球温暖化,  海面上昇,  水源,  生態系,  水不足,  災害,  食料供給,  気候変動"
氷河融解,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  海面上昇,  生態系,  洪水,  低地,  水資源,  水温,  食糧安全保障,  災害リスク,  北極圏"
氷河融解,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  温室効果ガス,  持続可能性,  再生可能エネルギー,  森林保護,  海洋保護,  水資源管理,  地球温暖化,  環境保護法,  グリーンテクノロジー"
干ばつ,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"乾燥,  降水量,  農作物,  土壌,  洪水,  湿度,  灌漑,  水不足,  蒸発,  森林"
干ばつ,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),乾燥、水不足、作物、灌漑、乾燥地帯、降水量、農業、飲料水、気候変動、飢饉
干ばつ,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"自然,  農業,  作物,  飲料水,  経済,  飢饉,  灌漑,  水不足,  乾燥地,  食料安全"
干ばつ,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"水不足,  農業,  灌漑,  井戸,  雨水利用,  蓄水,  乾燥地,  枯れる,  食料危機,  水制限"
熱波,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候,  地球温暖化,  湿度,  風,  太陽,  熱中症,  森林火災,  健康リスク,  灼熱,  農作物"
熱波,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"熱中症,  暑さ対策,  高温注意報,  涼をとる,  水分補給,  熱中症対策,  熱中症予防,  高温多湿,  熱中症警戒,  灼熱"
熱波,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"熱中症,  夏,  保冷剤,  こまめな水分補給,  熱中症予防,  高温注意報,  日傘,  エアコン,  熱中症対策,  汗袋"
熱波,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"冷房,  保冷剤,  通気性,  日傘,  エアコン,  日陰,  水分補給,  熱中症,  日除け,  室内温度"
豪雨,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"洪水,  雷雨,  土砂崩れ,  避難,  浸水,  洪水警報,  突風,  落雷,  雨量,  堤防"
豪雨,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"洪水,  土砂災害,  避難指示,  浸水,  災害対策,  河川,  警報,  地盤,  浄水場,  救助活動"
豪雨,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"豪雨,  洪水,  土砂崩れ,  避難,  浸水,  被害,  堤防,  緊急避難,  警報,  浸水被害"
豪雨,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"豪雨,  洪水,  避難,  防災,  雷,  土砂災害,  安全確保,  災害対策,  備え,  警報"
台風,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"台風,  風速,  雨量,  高気圧,  海面温度,  湿度,  進路予想,  避難勧告,  被害状況,  防災措置"
台風,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"風速,  雨量,  避難勧告,  浸水,  停電,  被害状況,  防災対策,  災害対応,  警報,  被災地"
台風,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"台風,  雨,  風速,  警報,  被害,  安全,  避難,  倒木,  浸水,  閉鎖"
台風,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"台風,  防災,  避難,  警報,  風速,  浸水,  被害,  緊急,  集中豪雨,  強風"
森林火災,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"森林,  火災,  乾燥,  火気,  火災警戒,  風,  人為,  森林管理,  保安,  森林破壊"
森林火災,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"森林,  火災,  防災,  予防,  森林管理,  火の取り扱い,  監視,  発生源,  乾燥,  風向き"
森林火災,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"森林火災,  火災対策,  森林保護,  環境破壊,  空気品質,  避難指示,  防火帯,  乾燥地帯,  燃焼,  熱帯雨林"
森林火災,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"森林,  火災,  対策,  予防,  消火,  監視,  警戒,  防火帯,  火の取り扱い,  訓練"
気候災害,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  極端気象,  災害リスク,  地球温暖化,  降水量,  風速,  海面上昇,  乾燥,  洪水,  適応策"
気候災害,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  集中豪雨,  高温,  干ばつ,  地球温暖化,  洪水,  酷暑,  風水害,  豪雨,  突風"
気候災害,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  洪水,  干ばつ,  嵐,  地震,  降雪,  高温,  風速,  海面上昇,  避難"
気候災害,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  防災,  持続可能性,  緊急事態,  適応,  予測,  温室効果ガス,  避難計画,  防災訓練,  復旧"
気候正義,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  化石燃料,  持続可能性,  森林破壊,  水資源,  再生可能エネルギー,  工業活動,  海面上昇,  炭素排出,  環境正義"
気候正義,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  温室効果ガス,  持続可能性,  飢餓,  森林伐採,  経済格差,  海面上昇,  緑の経済,  再生可能エネルギー,  災害対策"
気候正義,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  温室効果ガス,  雨量変動,  現地性,  持続可能性,  経済格差,  森林破壊,  海面上昇,  食糧安全保障,  災害リスク"
気候正義,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  再生可能エネルギー,  持続可能性,  カーボンニュートラル,  パリ協定,  森林保護,  廃棄物削減,  再利用,  環境保護,  グリーンテクノロジー"
気候難民,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"気候変動,  災害,  飢饉,  海面上昇,  異常気象,  温暖化,  干ばつ,  森林破壊,  水資源枯渇,  農業被害"
気候難民,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"気候変動,  移住,  飢餓,  水不足,  災害,  避難,  農業,  経済,  安全保障,  救援"
気候難民,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"影響,  移住,  食糧不足,  災害,  飲料水,  砂漠化,  都市化,  紛争,  資源競争,  環境変動"
気候難民,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"気候変動,  避難,  移住,  食糧安全保障,  災害リスク,  予防措置,  住居整備,  農業多様化,  国際協力,  適応策"
自然災害,背景 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候"
自然災害,課題 (事柄/事象/現象/人体・生理・病気/自然/生物/生活/社会活動/組織/産業/制度),"洪水,  地震,  嵐,  津波,  土砂崩れ,  避難,  被害,  復旧,  防災,  遺体"
自然災害,影響 (事柄/事象/現象/自然/生物/社会活動/産業/物質/天候),"事柄,  事象,  現象,  自然,  生物,  社会活動,  産業,  物質,  天候"
自然災害,対策 (事柄/事象/現象/自然/物質/社会活動/産業/組織/制度/生活/人造物),"被害,  防災,  避難,  警報,  備え,  危険,  予防,  被災地,  避難所,  復旧"
